lastname,firstname,Ccode,Word Count,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Truman,Harry,2,1079816,0.547628485,0.232351257,0.243883025,0.452371515,0.510767605,0.566521337,0.049412076,0.15788083,0.107940283,0.020742502,0.097502973,0.359042346,0.160765811,0.11880695,0.22787897,0.972926395,Harry Truman
Trump,Donald,2,5095,0.5,0.24537037,0.113425926,0.5,0.611111111,0.430555556,0.125,0.194444444,0.083333333,0.055555556,0.111111111,0.426966292,0.166666667,0.152606994,0.288,0.956049186,Donald Trump
Tyler,John,2,34356,0.677419355,0.241935484,0.436212279,0.322580645,0.419354839,0.709677419,0.016129032,0.112903226,0.064516129,0,0.096774194,0.332667333,0.164502165,0.1035482,0.058325494,0.9939605,John Tyler
Ulbricht,Walter,265,6618,0.92,0.36,0.73888,0.08,0.16,0.88,0,0.08,0.04,0,0,0.276315789,0.122807018,0.11049169,0.141242938,0.984393829,Walter Ulbricht
Vajpayee,Bihary,750,52589,0.631168831,0.274458874,0.295033901,0.368831169,0.431168831,0.61038961,0.062337662,0.142857143,0.101298701,0.01038961,0.072727273,0.528348398,0.308408655,0.137032278,0.240324594,0.967067773,Bihary Vajpayee
Van Buren,Martin,2,49600,0.677419355,0.308243728,0.29379119,0.322580645,0.537634409,0.602150538,0.043010753,0.193548387,0.053763441,0.032258065,0.075268817,0.341952165,0.168067227,0.115771,0.056707317,0.993434937,Martin Van Buren
Washington,George,2,18264,0.6,0.242857143,0.364244898,0.4,0.4,0.657142857,0.014285714,0.128571429,0.128571429,0,0.071428571,0.448275862,0.215970962,0.14827158,0.112721417,0.983286617,George Washington
Wilson,Harold,200,1572877,0.543206227,0.24012218,0.259700658,0.456793773,0.502118435,0.575229087,0.029756626,0.166617401,0.127007587,0.016947483,0.084441817,0.373803021,0.176582432,0.136342257,0.259724639,0.964588557,Harold Wilson
Wilson,Woodrow,2,68122,0.471389646,0.188919164,0.205191218,0.528610354,0.583106267,0.528610354,0.040871935,0.166212534,0.111716621,0.027247956,0.125340599,0.311851447,0.131257965,0.108001555,0.166969973,0.981966983,Woodrow Wilson
Yabuku,Gowon ,475,4976,0.666666667,0.3,0.282666667,0.333333333,0.2,0.6,0.133333333,0.1,0.066666667,0.1,0,0.006060606,-0.107070707,0.08522314,0.153846154,0.986888748,Gowon  Yabuku
Yeltsin,Boris,365,8938,0.489361702,0.195035461,0.244092349,0.510638298,0.319148936,0.574468085,0.063829787,0.106382979,0.127659574,0.074468085,0.053191489,0.606557377,0.281420765,0.233915614,0.278106509,0.934946545,Boris Yeltsin
Zedong,Mao,710,151363,0.235436893,0.034385113,0.171825808,0.764563107,0.550970874,0.484223301,0.029126214,0.104368932,0.183252427,0.027912621,0.171116505,0.057053942,-0.03526971,0.08584267,0.176068376,0.98488582,Mao Zedong
Zhivkov,Todor,355,13230,0.553398058,0.213592233,0.258214723,0.446601942,0.504854369,0.582524272,0.048543689,0.145631068,0.077669903,0.038834951,0.106796117,0.21192053,0.073951435,0.097171177,0.254320988,0.97528733,Todor Zhivkov
